,host_name,hash,diff
0,d-05.winudf.com,29527716,29527716
1,d-05.winudf.com,29646980,119264
2,d-05.winudf.com,29998276,351296
3,d-05.winudf.com,30364388,366112
4,d-05.winudf.com,31012388,648000
5,d-01.winudf.com,46291963,15279575
6,d-01.winudf.com,46446043,154080
7,d-01.winudf.com,46754203,308160
8,d-01.winudf.com,47155131,400928
9,d-01.winudf.com,48172379,1017248
10,d-03.winudf.com,55142690,6970311
11,d-04.winudf.com,59463494,4320804
12,d-04.winudf.com,59619686,156192
13,d-04.winudf.com,65145350,5525664
14,d-04.winudf.com,65332262,186912
15,d-04.winudf.com,65615974,283712
16,d-02.winudf.com,65863521,247547
17,d-04.winudf.com,66049606,186085
18,d-02.winudf.com,66169281,119675
19,d-04.winudf.com,66224358,55077
20,d-02.winudf.com,66537441,313083
21,d-02.winudf.com,66755489,218048
22,d-02.winudf.com,66876801,121312
23,d-05.winudf.com,67307681,430880
24,d-05.winudf.com,67495553,187872
25,d-03.winudf.com,73551526,6055973
26,d-05.winudf.com,73894305,342779
27,d-05.winudf.com,74077665,183360
28,d-05.winudf.com,74234817,157152
29,d-03.winudf.com,74630214,395397
30,d-03.winudf.com,74721894,91680
31,d-03.winudf.com,75101734,379840
32,d-05.winudf.com,75247905,146171
33,d-03.winudf.com,75438086,190181
34,d-04.winudf.com,79831010,4392924
35,d-02.winudf.com,105511012,25680002
36,d-02.winudf.com,106053860,542848
37,d-02.winudf.com,106213060,159200
38,d-02.winudf.com,106525316,312256
39,d-02.winudf.com,106929316,404000
40,d-01.winudf.com,117693950,10764634
41,d-01.winudf.com,117781470,87520
42,d-01.winudf.com,123843294,6061824
43,d-01.winudf.com,124420286,576992
44,d-01.winudf.com,124546718,126432
45,d-01.winudf.com,125438558,891840
46,d-05.winudf.com,142938301,17499743
47,d-05.winudf.com,143881341,943040
48,d-05.winudf.com,144022109,140768
49,d-05.winudf.com,144197149,175040
50,d-05.winudf.com,144615485,418336
51,d-03.winudf.com,167979899,23364414
52,d-02.winudf.com,178699576,10719677
53,d-02.winudf.com,179003768,304192
54,d-02.winudf.com,179146584,142816
55,d-04.winudf.com,179218047,71463
56,d-02.winudf.com,179362296,144249
57,d-04.winudf.com,179564767,202471
58,d-04.winudf.com,179642111,77344
59,d-04.winudf.com,179880639,238528
60,d-04.winudf.com,180235423,354784
61,d-04.winudf.com,180426015,190592
62,d-02.winudf.com,180501560,75545
63,d-02.winudf.com,180671000,169440
