"游戏","apk_type",Count
"com.cwin.en2star",2,3
"com.dalcomsoft.ss.jyp",2,3
"com.differencetenderwhite.skirt",2,3
"com.disney.disneyinfinity3_goo",2,3
"com.edengames.GTSpirit",2,3
"com.entermate.flyffasia",2,3
"com.gamedevltd.wwh",2,3
"com.gameloft.android.ANMP.GloftWOHM",2,3
"com.gamestar.perfectpiano",2,3
"com.globalfun.tj2015.google",2,3
"com.glu.sniperx",2,3
"com.groundhog.multiplayermaster",2,3
"com.hbqlxcdx.vm",2,3
"com.hcg.cok.gp",2,3
"com.herogames.gplay.crisisactionna",2,3
"com.julian.fastracing",2,3
"com.king.farmheroessaga",2,3
"com.koyokiservices.FoF",2,3
"com.linekong.dbm.na.google",2,3
"com.lost.king.games.ludo",2,3
"com.madfingergames.deadtrigger2",2,3
"com.madfingergames.unkilled",2,3
"com.matatu.common",2,3
"com.maxgames.stickwarlegacy",2,3
"com.mgc.miami.crime.simulator.two",2,3
"com.mmarcel.g4",2,3
"com.msl3d.dsl",2,3
"com.netease.z3.android",2,3
"com.netmarble.penta",2,3
"com.netmarble.tera",2,3
"com.nextwave.wcc_lt",2,3
"com.nj.callbreak.android",2,3
"com.nxaly.tiop.xt",2,3
"com.oddyarts.StoneOfLifeEXNative",2,3
"com.outfit7.talkingtomgoldrun",2,3
"com.outfit7.talkingtompool",2,3
"com.ovilex.drivingschool2016",2,3
"com.pixel.gun3d",2,3
"com.platogo.pmp",2,3
"com.repus.gink.osku",2,3
"com.robtopx.geometryjumplite",2,3
"com.scopely.whiplash",2,3
"com.soma.ml",2,3
"com.standylan.dunkhit",2,3
"com.starg.rainbow",2,3
"com.supercell.boombeach",2,3
"com.touchtao.soccerkinggoogle",2,3
"com.ubisoft.accovenant",2,3
"com.weurotrucksimulator2SNG",2,3
"com.zhaben.crou",2,3
"com.zynga.FarmVille2CountryEscape",2,3
"company.gamesx.guitarflash",2,3
"first.devloper.blue.whale",2,3
"game.xin.classic",2,3
"io.voodoo.stackjump",2,3
"jp.co.beeworks.funghisden",2,3
"jp.konami.pesclubmanager",2,3
"jpark.AOS5",2,3
"leagueofmonkeys.torqueburnout",2,3
"net.froemling.bombsquad",2,3
"org.cocos2dx.NautilusCricket2014",2,3
"org.ppsspp.ppssppgoldyq0712ep",2,3
"uk.co.aifactory.chessfree",2,3
"yoyo.Easy2play.now",2,3
"air.BattleofZombies",2,2
"air.com.generamobile.kingcraft",2,2
"air.com.sublinet.rugbymanager",2,2
"ata.kraken.heckfire",2,2
"badminton.king.sportsgame.smash",2,2
"baidoithuong.king88.tienlenvietnam",2,2
"be.abrakam.faeria",2,2
"co.maingame.SimulatorBusTelolet3D",2,2
"com.Bingo.Fighter",2,2
"com.CarXTech.highWay",2,2
"com.Cheritz.MysticMessenger",2,2
"com.DynamicGames.HeavyBusSimulatorTeste",2,2
"com.DynamicGames.HeavyTruckSimulator",2,2
"com.HomeNetGames.Pirates2",2,2
"com.RaionStudio.GhostBattle2",2,2
"com.RoosterGames.Battledogs",2,2
"com.SomeRobot.Tez",2,2
"com.TwinbeStudio.BorutoBattleNinjaVoltage",2,2
"com.aim.racing",2,2
"com.alien.shooter.galaxy.attack",2,2
"com.ansangha.drjb",2,2
"com.appsoft.ball.shot",2,2
"com.astragon.constructionsim2uslt",2,2
"com.auxbrain.egginc",2,2
"com.babeltimeus.legendstd",2,2
"com.bandainamcoent.godeateronline",2,2
"com.bandainamcoent.optsE",2,2
"com.bandainamcoent.sailormoondropsww",2,2
"com.bandainamcoent.seiyazben",2,2
"com.beam.NGDriveV1",2,2
"com.berniiiiiiii.tekatekisilang",2,2
"com.bij.gutsp",2,2
"com.bistudio.minidayz",2,2
"com.blackpanther.ninjaarashi",2,2
"com.blacktile.piano.tiles.two",2,2
"com.braineaters.ninja2",2,2
"com.broy.ultimatefootball",2,2
"com.brunosousa.drawbricks",2,2
"com.chess",2,2
"com.chillingo.robberybobfree.android.row",2,2
"com.cigames.sgwm",2,2
"com.clj.fbdemo",2,2
"com.cmcm.arrowio",2,2
"com.com2us.inotia4.normal.freefull.google.global.android.common",2,2
"com.cookingmania.masterchef.cooking.fever.google.freegame",2,2
"com.cpu.free.dsemulatorv6",2,2
"com.creativemobile.zc",2,2
"com.crisisfire.android.efun.ru",2,2
"com.critical.strike.shoot.fire.cssf",2,2
"com.cw.en5warrior",2,2
"com.degoo.android.icecreammaker",2,2
"com.deimos.emu",2,2
"com.devsisters.gb",2,2
"com.dffg.critical.strike.assault.mission",2,2
"com.diandian.gog",2,2
"com.dle.afterpulse",2,2
"com.doodlemobile.vicecity",2,2
"com.droidhang.ad",2,2
"com.dsaen.and",2,2
"com.ea.game.fifa15_row",2,2
"com.ea.game.maddenmobile15_row",2,2
"com.ea.games.r3_row",2,2
"com.ea.games.simsfreeplay_na",2,2
"com.eyougame.wsjs.en",2,2
"com.fastemulator.gbafree",2,2
"com.fgs.rsonw",2,2
"com.firstclassfootball.apeeovin",2,2
"com.fluffyfairygames.idleminertycoon",2,2
"com.foursakenmedia.noblemen",2,2
"com.funny.daichien",2,2
"com.funplus.familyfarm",2,2
"com.g6677.android.phairsalon",2,2
"com.gamebasics.osm",2,2
"com.gameloft.android.ANMP.GloftDOHM",2,2
"com.gameloft.android.ANMP.GloftL2HM",2,2
"com.gameloft.android.ANMP.GloftNOHM",2,2
"com.gamevil.cartoonwars3.android.google.global.normal",2,2
"com.gamevilusa.afterpulse.android.google.global.normal",2,2
"com.garena.game.headvn",2,2
"com.glu.dd2",2,2
"com.glu.flc2",2,2
"com.glu.modwarsniper",2,2
"com.gta.grandtheftauto.crime.city.sniper",2,2
"com.haikugamesco.escapeasylum",2,2
"com.hasbro.monopolyhereandnow",2,2
"com.horus.bulletstrike",2,2
"com.iFlaps.iSmokeWeedFree",2,2
"com.iccwct2012.iccworldt202012",2,2
"com.igg.clashoflords2",2,2
"com.indiagames.cricketfever",2,2
"com.ironhidegames.android.kingdomrush",2,2
"com.jetstartgames.chess",2,2
"com.jiinfeng3d.bfrdemo",2,2
"com.ketchapp.rider",2,2
"com.kimjisub.launchpad",2,2
"com.king.candycrushjellysaga",2,2
"com.kukouri.wizworld",2,2
"com.lego.bricksmore",2,2
"com.lilithgame.sgame.gp.oss",2,2
"com.linecorp.LGGIRLS",2,2
"com.linecorp.LGGRTHN",2,2
"com.linecorp.LGMARBLE",2,2
"com.linecorp.LGTMTM",2,2
"com.linecorp.LGTMTMG",2,2
"com.lockwoodpublishing.avakinlifevr",2,2
"com.lsgames.gotostreet",2,2
"com.lyto.irism",2,2
"com.madfingergames.deadtrigger",2,2
"com.makingfun.mageandminions",2,2
"com.maniraam.shooter",2,2
"com.masilgames.skyassault",2,2
"com.masomo.headball2",2,2
"com.mawpo.jcm.lk",2,2
"com.maxgames.aow2",2,2
"com.mega.caught.mc",2,2
"com.melesta.toydefense2",2,2
"com.mgc.miami.crime.simulator",2,2
"com.mgc.stickman.rope.hero.two",2,2
"com.mgs.sniper1",2,2
"com.miHoYo.bh3rdJP",2,2
"com.miniclip.basketballstars",2,2
"com.ministone.game.risingsuperchef2",2,2
"com.mmo.android",2,2
"com.moonglabs.epiccricket",2,2
"com.motionvolt.flipdiving",2,2
"com.naturalmotion.csrracing",2,2
"com.naturalmotion.dawnoftitans",2,2
"com.nekki.shadowfighttv",2,2
"com.nextgames.android.twd",2,2
"com.nixhydragames.thearcana",2,2
"com.nway.powerrangerslegacywars",2,2
"com.ourpalm.kof.jp",2,2
"com.ovilex.taxisim2016",2,2
"com.ovilex.trucksimulator3d",2,2
"com.owngames.owncoffeeshop",2,2
"com.owngames.tahubulat",2,2
"com.pixelberrystudios.choices",2,2
"com.pixonic.wwr",2,2
"com.playdemic.golf.android",2,2
"com.playizzon.sachinsagalite",2,2
"com.playpark.dot",2,2
"com.playrix.gardenscapes",2,2
"com.pocket.adventure.en",2,2
"com.princeofpersia.tricks",2,2
"com.ps.horrorclown.survival",2,2
"com.rababagames.hajwalah",2,2
"com.racergame.cityracinglite.free",2,2
"com.raftsurvival.raft",2,2
"com.rasheedsoft.million",2,2
"com.redkoda.chinesepokermultiplayer",2,2
"com.rovio.baba",2,2
"com.rtsoft.growtopia",2,2
"com.sb.flowers.tool",2,2
"com.sdarisdari.NaroAdevGame",2,2
"com.sega.sonic.transformed",2,2
"com.shatiie.piano",2,2
"com.simpleton.galacticrush",2,2
"com.snailgameusa.aowd",2,2
"com.socialquantum.acityint",2,2
"com.square_enix.android_googleplay.khuxjp",2,2
"com.teaandcakegames.yandere",2,2
"com.theonegames.gunshipbattle",2,2
"com.thetisgames.googleplay.rcflightsimulator2016.free",2,2
"com.twelvegigs.heaven.bingo",2,2
"com.typhoon.lastsurvive",2,2
"com.vectorunit.purple.googleplay",2,2
"com.vg.airportpilot.car.transporter.plane",2,2
"com.vizorinteractive.zombiesettlersv2",2,2
"com.vng.g6.a.zombie",2,2
"com.wellgames.ss",2,2
"com.whiture.apps.ludoorg",2,2
"com.wolvesinteractive.traffictour",2,2
"com.wonder.pool.eightball",2,2
"com.wordsmobile.grandfightgangsters",2,2
"com.wordsmobile.gunship",2,2
"com.workpoint.themasksingertinystage",2,2
"com.wreszzz.wwetnastars.allsfighting",2,2
"com.youmusic.magictiles",2,2
"com.ysn.mustaphagame",2,2
"com.zeptolab.cats.google",2,2
"com.zitga.ninja.stickman.legends",2,2
"com.zoidsgame.zoidsfieldofrebellion",2,2
"com.zuuks.euro.truck.simulator",2,2
"com.zytoona.lostword2",2,2
"de.mobilebits.soulcraftarena",2,2
"de.mobilebits.soulcraftdefault",2,2
"exustus.drift.game.car.online.hjulh",2,2
"fi.twomenandadog.zombiecatchers",2,2
"first.devloper.blue.whaalever3",2,2
"im.maya.legendaryheroes",2,2
"io.teslatech.callbreak",2,2
"joykeratif.tts",2,2
"jp.co.atm.vcon.ww",2,2
"jp.kamasu.singeki3d",2,2
"jp.konami.duellinks",2,2
"lemmingsatwork.quiz",2,2
"mobi.gameguru.racingfever",2,2
"net.kernys.aooni",2,2
"net.mobigame.zombietsunami",2,2
"net.phang69.tienlenmiennam.gamebai",2,2
"net.wargaming.wot.blitz",2,2
"net.wargaming.wows.blitz",2,2
"org.ppsspp.ppssppgoldjsu0810kqz",2,2
"person.box.blackbean",2,2
"qhpgames.kpoppianotiles",2,2
"action.ninja.fight.warriors",2,1
"air.Lucy",2,1
"air.MSPMobile",2,1
"air.SchoolPublic",2,1
"air.WhackTheCreepsAndroid",2,1
"air.android.extremebabybirthg",2,1
